id,name,type,region,locality,lat,lon
1574,Avenue of Heroes of Agin-Buryat district,military glory,Transbaikal region,Aginskoe,114.537849,51.103662
1575,Avenue of Heroes of the Soviet Union,military glory,Pskov region,Pskov,28.332451,57.819274
1576,Alley of Heroes in the Victory Park,military glory,Kamchatka Krai,Petropavlovsk-Kamchatsky,158.592596,53.071301
1577,Alley memory of the heroes,military glory,Belgorod region,Belgorod,36.587223,50.59566
1578,Alley of Honorary citizen of the Khanty-Mansiysk Autonomous Okrug,military glory,Khanty-Mansi Autonomous Area,Khanty-Mansiysk,67.670548,63.775592
1579,Walk of Fame,military glory,Kirov region,,50.031733,58.560947
1580,Walk of Fame,military glory,Bryansk region,Gordeevka,31.970259,52.957803
1581,The Heroes Alley,military glory,Saratov region,Balakovo,47.778327,52.031103
1582,Alley hero-cities,military glory,Smolensk region,Smolensk,32.045251,54.782635
1583,Avenue of pioneers-heroes,military glory,Ulyanovsk region,Ulyanovsk,48.392613,54.307589
1584,Walk of fame,military glory,Krasnodar region,Krasnodar,38.962,45.014033
1585,"Ensemble ""line of defense""",military glory,Krasnodar region,Novorossiysk,37.768974,44.723912
1586,"Ensemble ""Little Earth""",military glory,Krasnodar region,Novorossiysk,37.792061,44.690388
1587,"Coastal Battery №30 (Fort ""Maxim Gorky-1"")",military glory,Sevastopol,,33.545994,44.624777
1588,bed of honor,military glory,Primorsky Krai,Vladivostok,131.922208,43.116595
1589,Mass grave of 1943-1944,military glory,Novgorod region,Vekshina,31.211488,57.627065
1590,"Mass grave of HF Fattyahutdinova, RR Ibarruri and VG Kamenschikova",military glory,Volgograd region,Volgograd,Not found,
1591,Mass grave in the village of Nizhnedevitsky,military glory,Voronezh region,Nižnedevick,38.364045,51.549146
1592,Mass grave of soldiers of the Soviet Army,military glory,Rostov region,mine,Not found,
1593,Mass grave of soldiers killed in 1941-1943,military glory,Smolensk region,Prjevalskoe,Not found,
1594,Mass grave of soldiers killed during the Battle of Stalingrad,military glory,Volgograd region,Kletskaya,43.061102,49.31469
1595,Mass grave of the defenders of Red Tsaritsyn in 1919,military glory,Volgograd region,Volgograd,42.781628,48.594751
1596,Mass grave Communards,military glory,Sverdlovsk region,Ekaterinburg,60.579059,56.835884
1597,Mass grave of Red Army,military glory,Kemerovo region,Guryevsk,85.947635,54.285935
1598,Mass grave on Black Mountain,military glory,Ryazan Oblast,Mikhailov,Not found,
1599,Mass grave in the town cemetery,military glory,Moscow region,Zaraysk,38.874845,54.756973
1600,Mass grave of Soviet soldiers who died during the Great Patriotic War,military glory,Belgorod region,Ivnya,36.136924,51.062222
1601,Mass grave of the district Council members Kem shot invaders in 1918,military glory,The Republic of Karelia,Kem,Not found,
1602,Mass grave № 10,military glory,Voronezh region,Voronezh,39.163699,51.731053
1603,Mass grave № 12,military glory,Voronezh region,Voronezh,39.163699,51.731053
1604,Mass grave № 13,military glory,Voronezh region,Voronezh,39.163699,51.731053
1605,Mass grave № 14,military glory,Voronezh region,Voronezh,39.163699,51.731053
1606,Mass grave № 15,military glory,Voronezh region,Voronezh,39.163699,51.731053
1607,Mass grave № 16,military glory,Voronezh region,Voronezh,39.163699,51.731053
1608,Mass grave № 17,military glory,Voronezh region,Voronezh,39.163699,51.731053
1609,Mass grave № 18,military glory,Voronezh region,Voronezh,39.163699,51.731053
1610,Mass grave № 19,military glory,Voronezh region,Voronezh,39.163699,51.731053
1611,Mass grave № 201,military glory,Voronezh region,Nikolskoye,39.324416,51.716726
1612,Mass grave № 202,military glory,Voronezh region,,39.163699,51.731053
1613,Mass grave № 21,military glory,Voronezh region,,39.163699,51.731053
1614,Mass grave № 211,military glory,Voronezh region,Maslovka,39.759399,50.998506
1615,Mass grave number 214,military glory,Voronezh region,Tavrovo,41.458274,51.146043
1616,Mass grave № 3,military glory,Voronezh region,Voronezh,39.163699,51.731053
1617,Mass grave № 35,military glory,Voronezh region,Voronezh,39.163699,51.731053
1618,Mass grave № 4,military glory,Voronezh region,Voronezh,39.163699,51.731053
1619,Mass grave № 5,military glory,Voronezh region,Voronezh,39.163699,51.731053
1620,Mass grave № 6,military glory,Voronezh region,Voronezh,39.163699,51.731053
1621,Bratskiy garden,military glory,Astrakhan region,Astrakhan,48.03555,46.350239
1622,Brethren cemetery,military glory,Leningrad region,,30.586108,60.847614
1623,Brethren cemetery,military glory,Sevastopol,,33.55743,44.636914
1624,Armored boat AK-454,military glory,Perm,Permian,56.229434,58.01045
1625,Бронепоезд &quot;Тульский рабочий&quot;,military glory,Tula region,Tula,Not found,
1626,Heroes Boulevard,military glory,Kemerovo region,Novokuznetsk,87.146958,53.754731
1627,Victory Boulevard,military glory,Astrakhan region,Astrakhan,48.046007,46.369961
1628,Victory Boulevard,military glory,Omsk region,Omsk,73.382271,54.955076
1629,"Bust of Marshal of the Soviet Union, RJ Malinowski",military glory,Khabarovsk region,Khabarovsk,135.152325,48.510399
1630,Eternal flame,military glory,Yamalo-Nenets Autonomous Okrug,Salekhard,66.614399,66.529844
1631,The eternal flame (Victory Memorial),military glory,Arhangelsk region,Arkhangelsk,40.515753,64.539911
1632,The eternal flame at the Square of the memory of heroes,military glory,Smolensk region,Smolensk,32.046967,54.779047
1633,Eternal fire and Avenue of Heroes,military glory,Republic of Tatarstan,Chistopol,50.643575,55.372334
1634,Eternal flame on the Field of Mars,military glory,St. Petersburg,St. Petersburg,30.36046,59.886848
1635,Vishkilskie military camps,military glory,Kirov region,,Not found,
1636,"Military-Historical Museum ""Young defenders of the Motherland""",military glory,Kursk region,Kursk,Not found,
1637,Military-historical museum of the Far Eastern Military District,military glory,Khabarovsk region,Khabarovsk,135.071917,48.480223
1638,Military-Historical Museum of the Battle of Kursk,military glory,Kursk region,Kursk,36.188649,51.756828
1639,Military-Historical Museum of the Patriotic War of 1812,military glory,Kaluga region,Dubna,36.470981,55.011706
1640,Military-Historical Museum of the Pskov region,military glory,Pskov region,Isle,28.343806,57.345188
1641,Military-Historical Museum of the Pskov region,military glory,Pskov region,Isle,28.343806,57.345188
1642,Military-Historical Museum of the Pacific Fleet,military glory,Primorsky Krai,Vladivostok,Not found,
1643,Military-Historical Museum of the Pacific Fleet,military glory,Primorsky Krai,Vladivostok,Not found,
1644,Military-Historical Museum of Black Sea Fleet,military glory,Sevastopol,,Not found,
1645,Museum of Military History Center of additional education for children,military glory,Kirov region,Kotelnich,48.347508,58.303426
1646,Military Medical Museum of the Russian Federation Ministry of Defense,military glory,St. Petersburg,,30.315868,59.939095
1647,"War Memorial complex ""Victory Banner""",military glory,Lipetsk region,,Not found,
1648,"Naval History Museum ""Sea Shower""",military glory,Stavropol region,Kislovodsk,Not found,
1649,Naval Museum of the Northern Fleet,military glory,Murmansk region,Murmansk,33.092022,69.021014
1650,"Naval Museum of the Northern Fleet, Memorial Complex ""Red Banner submarine"" K-21 """,military glory,Murmansk region,Severomorsk,Not found,
1651,Военно-патриотический лагерь &quot;Честь имею&quot;,military glory,Sakhalin region,,Not found,
1652,"Military-patriotic recreation park of the Russian Federation ""Patriot"" Armed Forces",military glory,Moscow region,Cuban,36.828268,55.571052
1653,Military Technical Museum in Ivanovo,military glory,Moscow region,Borough Chernogolovka,Not found,
1654,War memorial,military glory,Lipetsk region,Terbunı,38.279963,52.147441
1655,"War memorial ""Valdaukadel""",military glory,Kaliningrad region,Gardening,21.650611,54.46445
1656,"War memorial ""Sinyavino Heights""",military glory,Leningrad region,,31.098723,59.833606
1657,War memorial in the village Tie,military glory,Oryol Region,Tie-Zaverh,Not found,
1658,War memorial cemetery in the North,military glory,Udmurt republic,Izhevsk,53.206891,56.852676
1659,military burial,military glory,Novgorod region,Poddorye,31.500656,57.912855
1660,Military burial Yasnaya Polyana,military glory,Novgorod region,,31.561185,58.001304
1661,Military burial in Andrihnovo,military glory,Novgorod region,,31.500656,57.912855
1662,Military graves in the village of Transitions,military glory,Novgorod region,transitions,31.601663,57.848809
1663,Prisoners of war graves,military glory,Ivanovo region,,Not found,
1664,Military graves on the hill Snow,military glory,Primorsky Krai,border,Not found,
1665,Gallery Hero Cities,military glory,The Republic of Karelia,Petrozavodsk,34.382299,61.786421
1666,hill Heroes,military glory,Krasnodar region,Tuapse,39.096595,44.078845
1667,Ponyrovsky State Historical and Memorial Museum,military glory,Kursk region,Ponыri 1-e,36.254693,52.322577
1668,"Diorama ""The landing of Yevpatoria landing January 5, 1942""",military glory,Republic of Crimea,Yevpatoriya,33.371667,45.198321
1669,"Diorama 'Storm of Sapun Mountain May 7, 1944 """,military glory,Sevastopol,,Not found,
1670,Pavlov's House,architecture,Volgograd region,,43.510799,48.655732
1671,The road of life,military glory,Leningrad region,Kobo,31.550261,60.026631
1672,Hall of Military Glory Memorial complex at Mamayev Kurgan,military glory,Volgograd region,Volgograd,Not found,
1673,Hall of Military Glory,military glory,Novgorod region,Novgorod,31.269915,58.52281
1674,Burial of Soviet soldiers who died in the Smolensk fortress wall,military glory,Smolensk region,Smolensk,Not found,
1675,"Anti-aircraft guns in honor of soldiers-gunners, who died fighting the fascist invaders",military glory,Krasnodar region,Krasnodar,Not found,
1676,Historical and Memorial Hall of military equipment and armament Airborne Troops,galleries,Ryazan Oblast,Ryazan,Not found,
1677,"Historical and Memorial Museum ""The command post of the Voronezh Front""",military glory,Kursk region,Kirov,36.674422,51.299213
1678,Historical Reserve - the ruins of the mill them. KN Grudinina,architecture,Volgograd region,,Not found,
1679,Kazan Victory Park,military glory,Republic of Tatarstan,Kazan,49.218937,55.771783
1680,"Boat ""hero""",military glory,Nizhny Novgorod Region,Nizhny Novgorod,44.006516,56.326797
1681,Room of military glory,military glory,Lipetsk region,red,38.790503,52.863462
1682,Memorial Complex of Fame,military glory,Bryansk region,Dubrovka,33.504878,53.690163
1683,Complex-a memorial to soldiers-novosergievtsam,military glory,Orenburg region,Novosergievka,53.644649,52.072607
1684,Komsomol fire years,military glory,Mari El Republic,Yoshkar-Ola,47.84429,56.648845
1685,Equestrian monument to MI Platov,military glory,Rostov region,Novocherkassk,Not found,
1686,Krivtsovsky memorial,military glory,Oryol Region,Fatnevo,36.234733,53.471588
1687,Barrow of Immortality in Readovskom park,military glory,Smolensk region,Smolensk,30.997429,54.686572
1688,mound of Glory,military glory,Bryansk region,Suzemka,34.079863,52.315916
1689,mound of Glory,military glory,Rostov region,Novocherkassk,38.86694,47.558336
1690,Kurgan Military Glory in Kotelnikovo,military glory,Volgograd region,Котельниково,43.140002,47.630077
1691,Lazarevski barracks,architecture,Sevastopol,,33.525369,44.616604
1692,Malakoff,military glory,Sevastopol,,33.547881,44.604662
1693,Mamayev Kurgan,military glory,Volgograd region,Volgograd,44.533998,48.742644
1694,Мемориал &quot;Вечный огонь славы&quot;,military glory,Novgorod region,,Not found,
1695,Мемориал &quot;Долина героев&quot;,military glory,The Republic of Karelia,Pitkyaranta,Not found,
1696,Мемориал &quot;Катюша&quot;,military glory,Leningrad region,,Not found,
1697,Мемориал &quot;Скорбящий матрос&quot; в Нижнем Тортолово,military glory,Leningrad region,,Not found,
1698,Мемориал &quot;Тамбовский колхозник&quot;,military glory,Tambov Region,Tambov,Not found,
1699,Memorial 25 komsomols,military glory,Leningrad region,,Not found,
1700,"Memorial ""Afghan Gate""",military glory,Penza region,Penza,45.018316,53.195042
1701,"Memorial ""Nameless Height""",military glory,Leningrad region,big rapids,30.775195,59.773003
1702,"Memorial ""Armored Victory""",military glory,Tula region,Black,36.905065,53.458406
1703,"Memorial ""in honor of the heroes of the Battle of Kursk""",military glory,Belgorod region,,37.303198,50.872231
1704,"Memorial ""Valimsky abroad""",military glory,Leningrad region,Volkhov,32.334742,59.906594
1705,"Memorial ""Eternal glory to the Fire""",military glory,Kabardino-Balkar Republic,Nalchik,43.593794,43.475407
1706,"Memorial ""Eternal Flame"". Monument to fallen countrymen in the Great Patriotic War of 1941-1945.",military glory,Yamalo-Nenets Autonomous Okrug,Nadym,72.531341,65.535924
1707,"Memorial ""Warriors of the Civil and the Great Patriotic War, soldiers - internationalists""",military glory,Rostov region,proletarian,Not found,
1708,"Memorial ""Gorky - Front""",military glory,Nizhny Novgorod Region,Nizhny Novgorod,44.006516,56.326797
1709,"Memorial ""Gostilitsy""",military glory,Leningrad region,Gostilitsy,29.622872,59.746038
1710,"Memorial ""Alyosha Monument"" ( ""Alyosha"")",military glory,Murmansk region,Murmansk,33.074981,68.970682
1711,"Memorial ""punishing sword""",military glory,Udmurt republic,Izhevsk,53.206891,56.852676
1712,"Memorial ""Hill of Glory""",military glory,Republic of Crimea,,33.259566,45.178959
1713,"Memorial ""line of defense""",military glory,Novgorod region,,31.261983,58.515257
1714,"Memorial ""Bald Mountain""",architecture,Volgograd region,,44.395334,48.642053
1715,"Memorial ""Lubin field""",military glory,Novgorod region,,30.44165,58.48234
1716,"Memorial ""Mironova gora""",military glory,Voronezh region,new Kalitva,40.010469,50.082582
1717,"Memorial ""Tomb of the Unknown Soldier"" in Kohma",military glory,Ivanovo region,Kokhma,41.093208,56.932531
1718,"Memorial ""Meat Bor""",military glory,Novgorod region,,31.473689,58.820551
1719,"Memorial ""fell in the battles for the Motherland and the victims of fascism, 1941-1945.""",military glory,Krasnodar region,Anapa,37.31617,44.894965
1720,"Memorial ""Partisan Glory""",military glory,Leningrad region,,29.890462,58.849827
1721,"Memorial ""Crossing""",military glory,Leningrad region,Sheremetevka,31.032167,59.957174
1722,"Memorial ""Breakthrough""",military glory,Rostov region,Tatsinskaya,41.283229,48.192638
1723,"Memorial ""Sambekskie height""",military glory,Rostov region,Sambek,39.022457,47.333142
1724,"Memorial ""Glory to Heroes""",military glory,Leningrad region,Tikhvin,33.542096,59.644209
1725,"Memorial ""Anchor""",military glory,Leningrad region,,29.54338,59.93245
1726,Memorial of Eternal Glory,military glory,Lipetsk region,Lipetsk,39.59922,52.60882
1727,Memorial Patriotic War,military glory,Perm,wasp,55.470169,57.288389
1728,Memorial Pyryatynsky Division,military glory,The Republic of Khakassia,Abakan,91.397993,53.838374
1729,Memorial to the victory in the Great Patriotic War,military glory,Moscow,,37.617635,55.755814
1730,Memorial of Glory,military glory,The Republic of Sakha (Yakutia),Neryungri,124.720315,56.659948
1731,Memorial of Glory,military glory,Lipetsk region,Sagittarius,38.217728,52.409814
1732,Glory Memorial in the village Chaltyr,military glory,Rostov region,Chaltyr,39.499929,47.284214
1733,Memorial in Red Hills,military glory,Leningrad region,red Mountain,29.638395,58.947355
1734,Memorial to soldiers in Palekh,military glory,Ivanovo region,Palekh,Not found,
1735,Memorial to soldiers who fell in the Great Patriotic War of 1941-1945,military glory,The Republic of Dagestan,Makhachkala,Not found,
1736,"Memorial to soldiers, partisans and underground",military glory,Bryansk region,Dyatkovo,Not found,
1737,Memorial fellow soldiers who died during World War II,military glory,Kemerovo region,Krapivinskii,Not found,
1738,Memorial to soldiers kuzbassovtsev,military glory,Kemerovo region,Kemerovo,86.088374,55.354727
1739,"Memorial to soldiers-Ryazantsev, who died in local wars",military glory,Ryazan Oblast,Ryazan,Not found,
1740,Memorial tazovchanam soldiers who died during the Great Patriotic War,military glory,Yamalo-Nenets Autonomous Okrug,Taz,80.351481,67.875308
1741,Memorial of Military Glory,military glory,Stavropol region,Pyatigorsk,43.07084,44.03929
1742,"Memorial of Military Glory ""Marina Grove""",military glory,Nizhny Novgorod Region,Nizhny Novgorod,43.871095,56.246271
1743,Military Glory Memorial in honor of Montenegrin soldiers who died in the Great Patriotic War,military glory,The Republic of Khakassia,Sayanogorsk,Not found,
1744,Memorial to the heroes of Sevastopol Defense of 1941-1942,military glory,Sevastopol,,33.437684,44.59438
1745,Memorial to the heroes of the Great Patriotic War,military glory,Omsk region,Omsk,Not found,
1746,Memorial to the Victims of Fascism,military glory,Krasnodar region,Krasnodar,39.0135,45.089375
1747,Memorial to the victims of fascism in the mine Krasin,military glory,Rostov region,mine,40.215797,47.709601
1748,"Memorial to victims of the Nazi occupation of the Crimea of ​​1941-1944. Concentration ""Red""",military glory,Republic of Crimea,peaceful,Not found,
1749,"Memorial Museum-Reserve ""Kulikovo Field"" on the Red Hill",military glory,Tula region,Ivanovka-2,37.652768,54.270249
1750,Memorial on Bykovsky cemetery,military glory,Moscow region,Zhukovsky,38.119802,55.597475
1751,Memorial on the spot death of Soviet prisoners of war,military glory,Smolensk region,Smolensk,32.045251,54.782635
1752,Memorial to the liberators of Pskov,military glory,Pskov region,Pskov,31.070534,58.945126
1753,Memorial,military glory,Lipetsk region,Dolgorukov,38.354083,52.323552
1754,"Memorial ""Cedar Park""",military glory,Arhangelsk region,İlinsko-Podomskoe,47.972255,61.125625
1755,"Memorial ""Grieving Mother""",military glory,Bryansk region,Novozybkov,Not found,
1756,Memorial-alsibovtsev pilots,military glory,The Republic of Sakha (Yakutia),Zabaykalsk,114.911844,60.713731
1757,"Memorial novokuznechan memory of those killed in ""hot spots""",military glory,Kemerovo region,Novokuznetsk,87.136044,53.757547
1758,Memorial to the participants in the operation to blow up the Blue Bridge,military glory,Bryansk region,Vygonichi,34.062948,53.104303
1759,"Victory Memorial Tank T-34 ""Irkutsk Komsomolets""",military glory,Irkutsk region,Irkutsk,104.263664,52.380166
1760,Memorial to fallen soldiers of the Great Patriotic War,military glory,Rostov region,Peşkovo,39.391925,47.017939
1761,"Memorial to those killed workers factory ""Red Dawn""",military glory,Rostov region,Rostov-on-Don,39.720349,47.222078
1762,"Memorial workers of the plant ""Daldizel"" who died during the Great Patriotic War",military glory,Khabarovsk region,Khabarovsk,135.071917,48.480223
1763,"Memorial workers of the plant. Kirov, who died during the Great Patriotic War",military glory,Khabarovsk region,Khabarovsk,135.071917,48.480223
1764,the memorial,military glory,Republic of North Ossetia - Alania,Vladikavkaz,44.677118,42.999817
1765,A memorial to soldiers killed in the Great Patriotic War,military glory,Novosibirsk region,,Not found,
1766,"Memorial Tula, who died during the Great Patriotic War of 1941-1945",military glory,Tula region,Mendeleev,Not found,
1767,Memorial-park complex heroes of the First World War,military glory,Moscow,,37.51229,55.799644
1768,Memorial Russian and German soldiers' cemetery in Rossoshka,architecture,Volgograd region,,Not found,
1769,"The memorial ""The leading edge of the Defense Minor Earth 1943""",military glory,Krasnodar region,Novorossiysk,Not found,
1770,"Мемориальный комплекс &quot;Астрача, 1941&quot;",military glory,Leningrad region,ASTRACAM,Not found,
1771,Мемориальный комплекс &quot;Высота Бессмертия&quot;,military glory,Rostov region,Belaya Kalitva,Not found,
1772,Мемориальный комплекс &quot;Журавли&quot;,military glory,Penza region,Penza,44.990172,53.212134
1773,Memorial Complex 9 Heroes of the Soviet Union,military glory,Republic of Crimea,Geroyskoe,33.746489,45.138086
1774,"The memorial complex ""Avenue of Military Glory""",military glory,Astrakhan region,Astrakhan,47.977834,46.418013
1775,"The memorial complex ""Avenue of Heroes""",military glory,Republic of Kalmykia,Elista,44.262186,46.306871
1776,"The memorial complex ""Alyosha-Siberian""",military glory,Novosibirsk region,Novosibirsk,82.92043,55.030199
1777,"The memorial complex ""Big Oak""",military glory,Kursk region,,35.86124,52.084939
1778,"The memorial complex ""Eternal Flame""",military glory,The Republic of Sakha (Yakutia),Yakutsk,129.732178,62.027216
1779,"The memorial complex ""Eternal Flame""",military glory,Nizhny Novgorod Region,Nizhny Novgorod,44.006516,56.326797
1780,"The memorial complex ""Height 194.0 Cucumber""",military glory,Lipetsk region,,Not found,
1781,"Memorial Complex ""City of Military Glory»",military glory,Primorsky Krai,Vladivostok,131.885485,43.115536
1782,"The memorial complex ""Valley of Death""",military glory,Krasnodar region,Novorossiysk,37.768974,44.723912
1783,"The memorial complex ""The Don Cossacks in the struggle with the Bolsheviks""",military glory,Rostov region,,Not found,
1784,"The memorial complex ""For heroism in battle, for the feat in the work of his fellow townspeople grateful""",military glory,Kemerovo region,Leninsk-Kuznetsky,Not found,
1785,"Memorial Complex ""Defenders of the sky of the Motherland""",military glory,Tula region,Tula,37.617348,54.193122
1786,"The memorial complex ""The command post of the Central Front""",military glory,Kursk region,freedom,Not found,
1787,"The memorial complex ""Kumzhenskaya Grove""",military glory,Rostov region,Rostov-on-Don,39.618363,47.185015
1788,"The memorial complex ""Kursk""",military glory,Kursk region,Kursk,36.193186,51.73083
1789,"The memorial complex ""The sailors who died in peacetime""",viewing platforms,Murmansk region,Murmansk,Not found,
1790,"The memorial complex ""Courage is dedicated to""",military glory,Kemerovo region,"Kiselyovsk,",86.636679,54.006025
1791,"The memorial complex ""fallen warriors""",military glory,Rostov region,Rostov-on-Don,39.720349,47.222078
1792,"The memorial complex ""fallen heroes during the Great Patriotic War 1941 - 1945""",military glory,Rostov region,Semikarakorsk,Not found,
1793,"The memorial complex ""Memory of the Victims of Fascism in Zmievskoy beam""",military glory,Rostov region,Rostov-on-Don,Not found,
1794,"The memorial complex ""Memory of the fallen in the Great Patriotic War of 1941-1945""",military glory,Kursk region,Kursk,Not found,
1795,"The memorial complex ""area of ​​the 40th anniversary of the Victory""",military glory,Rostov region,mine,40.214009,47.707351
1796,"The memorial complex ""Memory Field""",military glory,Smolensk region,Demidov,31.515011,55.26444
1797,"The memorial complex ""Soldier Field""",architecture,Volgograd region,hillfort,44.476192,48.809658
1798,"The memorial complex ""Terbunsky abroad""",military glory,Lipetsk region,ponds,38.730971,52.0905
1799,Memorial complex «Cheryomushki»,military glory,Omsk region,Omsk,73.359669,54.911202
1800,Memorial complex MD Skobeleva,military glory,Ryazan Oblast,Zaborova,40.517343,53.538745
1801,Memorial Tambov-Parliament,military glory,Tambov Region,,Not found,
1802,"The memorial complex in honor of Hero of the Soviet Union, Marshal of Artillery VI Kazakova",military glory,Nizhny Novgorod Region,Buturlino,Not found,
1803,The memorial complex in honor of the victory in the Great Patriotic War,military glory,Penza region,Çaadaevka,45.967206,53.113152
1804,Memorial Complex of Military Glory in Mare's mound,military glory,Pskov region,Samolva,27.646246,58.296886
1805,The memorial complex on the mountain Samohval,military glory,The Republic of Khakassia,,Not found,
1806,The memorial complex on Park Gorky Square,military glory,Republic of Tatarstan,Kazan,49.134513,55.793738
1807,The memorial complex dedicated to Tanya Savicheva and children of war,military glory,Nizhny Novgorod Region,ducks,44.127987,55.188041
1808,The memorial complex dedicated to the soldiers belovchanam who died during the Great Patriotic War,military glory,Kemerovo region,Beljovo,Not found,
1809,Memorial Ship Krasny Vympel,military glory,Primorsky Krai,Vladivostok,132.412868,43.144663
1810,The Memorial Museum of Battle and Labor Glory Kuznetsk metallurgists in the Great Patriotic War,galleries,Kemerovo region,Novokuznetsk,87.136044,53.757547
1811,"Memorial Park ""Grove five hundred""",military glory,Leningrad region,,28.597921,59.385565
1812,The execution Komsomol V. Podorina,military glory,Novgorod region,,Not found,
1813,Place the first partisan fight,military glory,Smolensk region,Prjevalskoe,Not found,
1814,MiG-19 and a memorial sign Quat graduates killed in Afghanistan,military glory,Kaliningrad region,,Not found,
1815,Michael's battery,military glory,Sevastopol,,33.53004,44.631558
1816,The grave of Gabriel Pavlovich Maslovskoye,military glory,Novgorod region,ponds,Not found,
1817,The grave of Ivan Burmistrov,military glory,Novgorod region,,Not found,
1818,Unkown soldiers grave,military glory,The Republic of Karelia,Petrozavodsk,31.40901,61.659919
1819,"Monument ""City of Military Glory»",military glory,Pskov region,Pskov,28.332451,57.819274
1820,"The monument ""Mother Russia""",military glory,Kaliningrad region,Kaliningrad,20.501765,54.717111
1821,"Monument ""Pantheon of Glory"" soldiers who fell during the liberation of the village of Crimea",military glory,Rostov region,Crimea,Not found,
1822,"Monument ""The T-34"" Penza komsomolets """,military glory,Penza region,Penza,44.711308,53.122945
1823,"Monument ""Teplovsko height""",military glory,Kursk region,Olhovatka,36.125336,52.254881
1824,"Monument ""Node Memory""",military glory,Magadan Region,Magadan,150.808586,59.565151
1825,Monument of military glory,military glory,Voronezh region,Rossosh,39.57652,50.192899
1826,"Monument of Military Glory ""Legendary"" Katyusha """,military glory,Novosibirsk region,,78.313896,55.441693
1827,Victory monument,military glory,Novgorod region,,32.490222,58.307715
1828,monument of Glory,military glory,Kemerovo region,Mezhdurechensk,88.070372,53.686596
1829,monument of Glory,military glory,Yamalo-Nenets Autonomous Okrug,Labytnangi,66.383963,66.660595
1830,Monument of Glory pervomaytsam who died in 1941-1945.,military glory,Novosibirsk region,Novosibirsk,83.093553,54.837954
1831,Monument of military and labor glory,military glory,Udmurt republic,Izhevsk,53.147809,56.818858
1832,The monument of military and labor glory,military glory,Penza region,Penza,45.022197,53.195085
1833,Monument to the Heroic Defenders of Leningrad,military glory,St. Petersburg,St. Petersburg,Not found,
1834,Monument to the heroes of the 115th Cavalry Division,military glory,Kabardino-Balkar Republic,Nalchik,43.609389,43.516777
1835,Monument to the heroes of the Volga Flotilla,military glory,Nizhny Novgorod Region,Nizhny Novgorod,43.797505,56.37829
1836,"Museum ""Military Hill""",military glory,Krasnodar region,Temryuk,37.370194,45.27841
1837,"Museum ""Victory Memorial""",military glory,Krasnoyarsk region,Krasnoyarsk,92.976063,55.963516
1838,"The museum ""Submarine B-440""",galleries,Vologda Region,Vıtegra,Not found,
1839,Museum of Military Glory 140th Mortar Regiment and the 20th Novograd Volyn infantry brigade,military glory,Volgograd region,Volgograd,Not found,
1840,Museum of Battle Glory of the 92nd Infantry Brigade separate the Red,military glory,Volgograd region,Volgograd,Not found,
1841,Military History Museum in Tula region,military glory,Tula region,,Not found,
1842,Museum of military equipment,galleries,Vologda Region,Vologda,39.891523,59.220496
1843,"Museum of military equipment ""Arms of Victory""",military glory,Krasnodar region,Krasnodar,Not found,
1844,The open air museum of military equipment,military glory,Penza region,Penza,Not found,
1845,The open air museum of military equipment,military glory,Ivanovo region,Kineshma Online booking,Not found,
1846,Museum of Military Glory of the Chuvash Republic. Branch of the National Museum of the Chuvash Republic,military glory,Chuvash Republic,Cheboksary,47.251079,56.146277
1847,Museum of Military Glory (center of culture and art in the Cathedral),military glory,Vladimir region,,41.311831,56.367368
1848,Museum of the Civil War,military glory,Republic of Tatarstan,Island Sviyazhsk,48.659035,55.772203
1849,Museum of the Defense of Tula in the Great Patriotic War of 1941-1945.,galleries,Tula region,Leninist,37.460583,54.287985
1850,Museum of Defense and Logistics,galleries,Ryazan Oblast,,39.725101,53.913741
1851,Museum of Memory tagilchan soldiers killed in local wars planet,galleries,Sverdlovsk region,Nizhny Tagil,59.972211,57.907605
1852,"Museum-diorama ""The Battle of Kursk. Belgorod direction """,military glory,Belgorod region,Belgorod,36.573083,50.612673
1853,"Museum-panorama ""Battle of Stalingrad""",architecture,Volgograd region,,Not found,
1854,"Museum and Exhibition Complex ""bridgehead""",galleries,Kirov region,,Not found,
1855,Музейно-мемориальный комплекс музея-заповедника &quot;Куликово поле&quot; в Монастырщино,military glory,Tula region,,Not found,
1856,"Historical museum and memorial complex to the Heroic Defenders of Sevastopol ""35th Coastal Battery""",military glory,Sevastopol,,Not found,
1857,"Museum of historical and ethnographic complex ""Sokolovaya Mountain""",military glory,Saratov region,Saratov,46.065653,51.556555
1858,"The complex ""Kulikov Pole""",military glory,Tula region,,38.639981,53.63052
1859,"The museum complex ""Manor two generals""",military glory,Vladimir region,Pavlovsk,41.480337,56.221199
1860,Lookout 43rd Army at p.Sloboda,military glory,Smolensk region,,Not found,
1861,"Nizhny Novgorod city museum of technology and the defense industry, ""Victory Park""",military glory,Nizhny Novgorod Region,Nizhny Novgorod,Not found,
1862,"Obelisk ""Fighters for Soviet Power""",military glory,Krasnodar region,Tuapse,Not found,
1863,obelisk of Glory,military glory,Ulyanovsk region,,47.606533,53.891057
1864,obelisk of Glory,military glory,Ivanovo region,Yurievets,43.110995,57.317815
1865,The obelisk in the village of Bykovo,military glory,Arhangelsk region,chicago,Not found,
1866,The obelisk in the village of Sloboda,military glory,Arhangelsk region,freedom,Not found,
